upc	title	rating	year	stars	directors	genres
9780790739250	Singles	PG-13	1992	Matt Dillon/Bridget Fonda/Camilo Gallardo/Peter Horton/Sheila Kelley	Cameron Crowe	DTS/Comedy/Drama/4-for-3 Comedy/4-for-3 Drama/4-for-3 All DVDs/4-for-3 DVD/Full Screen/Widescreen
9780788844614	Spirited Away	PG	2001		Hayao Miyazaki	Animation/Heroic Missions/Feature Films/Studio Ghibli/Science Fiction & Fantasy/Fantasy Adventures/DTS/Japan/Amazon.com Songs Promotion/DVD/Widescreen
0043396189713	Seinfeld - Season 8	NR	2007		Andy Ackerman	Domestic Comedies/Seinfeld/DTS/Comedy/Television/DVD/Boxed Set/Full Screen
9780767802512	The Professional	R	1994	Jean Reno/Gary Oldman/Natalie Portman/Danny Aiello/Peter Appel	Luc Besson	Thrillers/Blackmail, Murder & Mayhem/Action & Adventure/Drama/Buddy Films/Coming of Age/DTS/France/Mystery & Suspense/DVD/Full Screen
0012236131472	Reservoir Dogs	R	1992	Kirk Baltz/Lawrence Bender/Randy Brooks/Edward Bunker/Steve Buscemi	Quentin Tarantino	Crime/Gangsters/DTS/DVD/Full Screen
0717951009944	High Fidelity	R	2000	Lisa Bonet/Joan Cusack/John Cusack/Sara Gilbert/Catherine Zeta-Jones	Stephen Frears	Friends/Contemporary/John Cusack/Rock/DTS/Zeta Jones, Catherine/DVD/Widescreen
9780790742243	Analyze This	R	1999	Robert De Niro/Billy Crystal/Lisa Kudrow/Chazz Palminteri/Kresimir Novakovic	Harold Ramis	Wedding Bells/Comic Criminals/Harold Ramis/Billy Crystal/DTS/Comedy/DVD/Full Screen/Widescreen
9780788826887	O Brother, Where Art Thou?	PG-13	2000	Michael Badalucco/George Clooney/Frank Collison/Charles Durning/Wayne Duvall	Joel Coen	Crime/Comic Action/George Clooney/Comedy/Drama/Buddy Films/Obsessive Quests/Comic Criminals/DTS/Action & Adventure/DVD/Widescreen
9780792852193	The Usual Suspects (Special Editon)	R	1995	Stephen Baldwin/Gabriel Byrne/Benicio Del Toro/Kevin Pollak/Kevin Spacey	Bryan Singer	Crime/Mystery/Neo-Noir/DTS/Del Toro, Benicio/DVD/Full Screen/Widescreen
9786305168850	Young Frankenstein (Special Edition)	PG	1974	Anne Beesley/Oscar Beregi Jr./Rusty Blitz/Peter Boyle/Johnny Dennis	Mel Brooks	Mel Brooks/Gene Wilder/DTS/Special Editions/Parody & Spoof/Comedy/DVD/Widescreen
9780792842712	The Usual Suspects	R	1995	Stephen Baldwin/Gabriel Byrne/Benicio Del Toro/Kevin Pollak/Kevin Spacey	Bryan Singer	Crime/Suspense/Neo-Noir/DTS/Del Toro, Benicio/DVD/Full Screen/Widescreen
0053939258325	The Shawshank Redemption	R	1994	Tim Robbins/Morgan Freeman/Bob Gunton/William Sadler/Clancy Brown	Frank Darabont	Buddies/Redemption/Miscarriage of Justice/Prison Films/DTS/DVD/Widescreen
9780790760414	Fawlty Towers - The Complete Series	NR	1975	Fawlty Towers		Gift Sets/Fawlty Towers/DTS/Comedy/Television/DVD/Boxed Set/Full Screen
9786305508557	Office Space (Widescreen Edition)	R	1999	Jennifer Aniston/Diedrich Bader/Joe Bays/Josh Bond/Gary Cole	Mike Judge	Cons & Scams/Fighting the System/Fish Out of Water/Underdogs/Corporate Life/Black Comedy/DTS/DVD/Widescreen
9780767802628	Men in Black (Collector's Series)	PG-13	1997	Tommy Lee Jones/Will Smith/Linda Fiorentino/Vincent D'Onofrio/Rip Torn	Barry Sonnenfeld	Comedy/Bounty Hunters/Alien Invasion/Aliens/Men in Black/Science Fiction/DTS/DVD/Widescreen
9780792844891	Spaceballs	PG	1987	Leslie Bevis/JM J. Bullock/John Candy/Ronny Graham/Sandy Helberg	Mel Brooks	Accidental Heroes/Unlikely Heroes/Mel Brooks/Comedy/DTS/Parody & Spoof/DVD/Full Screen
9780790747422	Three Kings	R	1999	George Clooney/Nora Dunn/Ice Cube/Holt McCallany/Mykelti Williamson	David O. Russell	Comic Action/George Clooney/Comedy/Drama/Persian Gulf War/Military Life/Anti-War Films/Iraq War/DTS/Action & Adventure/DVD/Widescreen
9780788833687	Monsters, Inc. (Two-Disc Collector's Edition)	G	2001	Jack Angel/Bob Bergen/Samuel Lord Black/Rodger Bumpass/Steve Buscemi	Peter Docter/David Silverman/Unkrich, Lee	Animation/Scary Movies & Mysteries/Family Films/Daring Rescues/Computer Animation/Feature Films/DTS/Animated Movies/3-6 Years/7-11 Years/For the Whole Family/Amazon.com Songs Promotion/DVD/Widescreen
9780800141707	Dr. Strangelove or: How I Learned To Stop Worrying and Love the Bomb	PG	1964	Glenn Beck/Frank Berry/Jack Creley/Hal Galili/Sterling Hayden	Stanley Kubrick	Divers/Military & War/Satire/Comedy
9780788816031	Clerks (Collector's Series)	R	1994	Jeff Anderson/Lee Bendick/Al Berkowitz/Betsy Broussard/Ken Clark (VII)	Kevin Smith	Buddy Films/Corporate Life/Twentysomethings/Kevin Smith/Comedy/DTS/DVD/Widescreen
